function;d;m;MLP_L2;MLP_time_sec;RFF_L2;RFF_time_sec;Barron_proxy_norm
Fourier narrow;10;32;1.093478;1.9;0.81412154;0.052;2005.678
Fourier narrow;10;64;1.076501;2.2;0.68606216;0.036;2005.678
Fourier narrow;10;128;1.030954;2.7;0.55586350;0.109;2005.678
Fourier narrow;10;256;0.876139;5.0;0.49051127;0.208;2005.678
Fourier narrow;10;512;0.699748;10.5;0.44870427;0.446;2005.678
Fourier narrow;10;1024;0.615061;32.9;0.41806674;0.964;2005.678
Fourier noisy;10;32;0.616896;1.9;0.94035441;0.058;17843.877
Fourier noisy;10;64;0.621731;2.2;0.94048107;0.041;17843.877
Fourier noisy;10;128;0.620327;2.7;0.94058996;0.120;17843.877
Fourier noisy;10;256;0.616021;5.1;0.94048482;0.215;17843.877
Fourier noisy;10;512;0.613397;10.6;0.94046855;0.454;17843.877
Fourier noisy;10;1024;0.610189;34.7;0.94041699;0.985;17843.877
Radial;20;32;0.011310;1.9;0.07249429;0.075;41.924
Radial;20;64;0.010099;2.2;0.07071653;0.118;41.924
Radial;20;128;0.010075;2.9;0.06976329;0.219;41.924
Radial;20;256;0.009279;5.6;0.06941870;0.422;41.924
Radial;20;512;0.009824;12.0;0.06915455;0.885;41.924
Radial;20;1024;0.009964;35.2;0.06887113;3.503;41.924
Ridge sum;20;32;0.139797;1.8;0.38435557;0.106;21522.680
Ridge sum;20;64;0.169465;2.1;0.32952499;0.079;21522.680
Ridge sum;20;128;0.178689;2.9;0.28525975;0.155;21522.680
Ridge sum;20;256;0.053997;5.5;0.22419673;0.345;21522.680
Ridge sum;20;512;0.034564;12.2;0.13070984;0.835;21522.680
Ridge sum;20;1024;0.021261;34.8;0.09488596;2.708;21522.680
Fourier narrow;20;32;1.232557;1.9;0.87905043;0.098;31908.653
Fourier narrow;20;64;1.232446;2.2;0.84016675;0.080;31908.653
Fourier narrow;20;128;1.232658;2.9;0.81414890;0.171;31908.653
Fourier narrow;20;256;1.229591;5.5;0.77959096;0.397;31908.653
Fourier narrow;20;512;1.229549;11.9;0.74043113;0.855;31908.653
Fourier narrow;20;1024;1.208388;35.6;0.72774965;1.840;31908.653
Fourier noisy;20;32;0.667902;1.9;1.00248361;0.099;50329.607
Fourier noisy;20;64;0.676304;2.2;1.00262904;0.081;50329.607
Fourier noisy;20;128;0.681619;2.9;1.00259507;0.197;50329.607
Fourier noisy;20;256;0.651275;5.6;1.00266552;0.403;50329.607
Fourier noisy;20;512;0.640050;12.4;1.00251818;0.931;50329.607
Fourier noisy;20;1024;0.634392;36.0;1.00267851;2.651;50329.607
