function;d;m;MLP_L2;MLP_time_sec;RFF_L2;RFF_time_sec;Barron_proxy_norm
Radial;2;32;0.035697;1.9;0.03760675;0.018;31.666
Radial;2;64;0.027958;2.1;0.03396421;0.010;31.666
Radial;2;128;0.020448;2.7;0.02879836;0.019;31.666
Radial;2;256;0.011225;4.9;0.02580821;0.034;31.666
Radial;2;512;0.009567;10.0;0.01904280;0.102;31.666
Radial;2;1024;0.010543;32.2;0.01501248;0.203;31.666
Ridge sum;2;32;0.046808;1.8;0.11994041;0.010;35.709
Ridge sum;2;64;0.040294;2.1;0.10775315;0.008;35.709
Ridge sum;2;128;0.027570;2.6;0.06755653;0.016;35.709
Ridge sum;2;256;0.015252;5.1;0.06910938;0.034;35.709
Ridge sum;2;512;0.010062;10.5;0.04362559;0.099;35.709
Ridge sum;2;1024;0.008129;31.5;0.03374067;0.200;35.709
Fourier narrow;2;32;0.239514;1.8;0.32295308;0.010;36.336
Fourier narrow;2;64;0.127974;2.1;0.22100365;0.009;36.336
Fourier narrow;2;128;0.127677;2.6;0.11947846;0.016;36.336
Fourier narrow;2;256;0.045384;4.8;0.09337410;0.035;36.336
Fourier narrow;2;512;0.029349;10.0;0.06617437;0.098;36.336
Fourier narrow;2;1024;0.020773;32.0;0.05901859;0.199;36.336
Fourier noisy;2;32;0.607498;1.8;0.94848132;0.009;383.490
Fourier noisy;2;64;0.607628;2.2;0.74041957;0.009;383.490
Fourier noisy;2;128;0.608655;2.7;0.41164058;0.016;383.490
Fourier noisy;2;256;0.607430;5.0;0.41513520;0.035;383.490
Fourier noisy;2;512;0.608049;10.5;0.17487292;0.105;383.490
Fourier noisy;2;1024;0.607322;30.9;0.11180384;0.205;383.490
Radial;5;32;0.080646;1.8;0.06206973;0.017;93.064
Radial;5;64;0.066692;2.1;0.05591551;0.023;93.064
Radial;5;128;0.053269;2.7;0.05271978;0.037;93.064
Radial;5;256;0.032701;4.9;0.05131226;0.103;93.064
Radial;5;512;0.027214;10.5;0.05125543;0.225;93.064
Radial;5;1024;0.023589;31.3;0.04879401;0.477;93.064
Ridge sum;5;32;0.122111;1.8;0.20666562;0.026;131.909
Ridge sum;5;64;0.087616;2.0;0.15034764;0.022;131.909
Ridge sum;5;128;0.072435;2.6;0.13738807;0.037;131.909
Ridge sum;5;256;0.026903;4.9;0.08697578;0.105;131.909
Ridge sum;5;512;0.016638;10.6;0.07185104;0.225;131.909
Ridge sum;5;1024;0.012016;32.2;0.06631192;0.472;131.909
Fourier narrow;5;32;0.693818;1.8;0.45526031;0.026;276.737
Fourier narrow;5;64;0.697468;2.1;0.41835532;0.022;276.737
Fourier narrow;5;128;0.584834;2.7;0.40352166;0.036;276.737
Fourier narrow;5;256;0.298221;4.9;0.36268574;0.102;276.737
Fourier narrow;5;512;0.265660;10.4;0.34242737;0.223;276.737
Fourier narrow;5;1024;0.183925;31.4;0.31251132;0.478;276.737
Fourier noisy;5;32;0.608141;1.8;0.91491026;0.026;11277.947
Fourier noisy;5;64;0.608466;2.1;0.91417027;0.022;11277.947
Fourier noisy;5;128;0.608475;2.6;0.91472948;0.037;11277.947
Fourier noisy;5;256;0.608315;4.9;0.91450989;0.103;11277.947
Fourier noisy;5;512;0.608608;10.4;0.91440707;0.225;11277.947
Fourier noisy;5;1024;0.608343;31.5;0.90819681;0.482;11277.947
Radial;10;32;0.049389;1.8;0.07642866;0.037;140.298
Radial;10;64;0.050756;2.2;0.07379514;0.038;140.298
Radial;10;128;0.045100;2.7;0.07134978;0.108;140.298
Radial;10;256;0.037638;5.1;0.07042924;0.209;140.298
Radial;10;512;0.034067;10.6;0.07045355;0.443;140.298
Radial;10;1024;0.031553;32.8;0.06899630;0.930;140.298
Ridge sum;10;32;0.113254;1.9;0.31851304;0.051;925.689
Ridge sum;10;64;0.111101;2.2;0.25710610;0.037;925.689
Ridge sum;10;128;0.102965;2.7;0.19032516;0.107;925.689
Ridge sum;10;256;0.037127;5.1;0.13779429;0.211;925.689
Ridge sum;10;512;0.024248;10.6;0.09352193;0.441;925.689
Ridge sum;10;1024;0.014050;32.8;0.06730033;0.929;925.689
