function;d;m;MLP_L2;MLP_time_sec;RFF_L2;RFF_time_sec;Barron_proxy_norm
Radial;2;32;0.028169;1.9;0.04178729;0.015;29.607
Radial;2;64;0.022661;2.2;0.03459988;0.009;29.607
Radial;2;128;0.019871;2.7;0.02745818;0.018;29.607
Radial;2;256;0.012638;4.9;0.01984523;0.034;29.607
Radial;2;512;0.009798;10.4;0.01893183;0.101;29.607
Radial;2;1024;0.009437;31.6;0.01676142;0.200;29.607
Ridge sum;2;32;0.064369;1.7;0.13077971;0.010;29.600
Ridge sum;2;64;0.039810;2.0;0.08936249;0.009;29.600
Ridge sum;2;128;0.029933;2.7;0.06707511;0.017;29.600
Ridge sum;2;256;0.014811;5.2;0.05699855;0.035;29.600
Ridge sum;2;512;0.009321;10.6;0.05164818;0.097;29.600
Ridge sum;2;1024;0.008165;32.0;0.03496672;0.203;29.600
Fourier narrow;2;32;0.203474;1.7;0.34220046;0.010;32.613
Fourier narrow;2;64;0.210334;2.0;0.24165523;0.009;32.613
Fourier narrow;2;128;0.163986;2.7;0.12469459;0.016;32.613
Fourier narrow;2;256;0.044552;4.8;0.08138578;0.034;32.613
Fourier narrow;2;512;0.030770;10.3;0.06498585;0.098;32.613
Fourier narrow;2;1024;0.020576;33.4;0.05172278;0.201;32.613
Fourier noisy;2;32;0.607930;1.8;0.90765178;0.010;734.835
Fourier noisy;2;64;0.608174;2.1;0.82204074;0.009;734.835
Fourier noisy;2;128;0.608057;2.7;0.69115442;0.016;734.835
Fourier noisy;2;256;0.608223;5.0;0.33782971;0.034;734.835
Fourier noisy;2;512;0.607750;10.4;0.14587995;0.098;734.835
Fourier noisy;2;1024;0.608056;31.4;0.09553768;0.201;734.835
Radial;5;32;0.070564;1.8;0.06287651;0.016;92.699
Radial;5;64;0.065333;2.1;0.05858234;0.022;92.699
Radial;5;128;0.046797;2.6;0.05334492;0.041;92.699
Radial;5;256;0.032415;4.8;0.05339747;0.109;92.699
Radial;5;512;0.025459;10.3;0.05143819;0.224;92.699
Radial;5;1024;0.023348;31.8;0.04972985;0.474;92.699
Ridge sum;5;32;0.144077;1.8;0.21574961;0.026;129.775
Ridge sum;5;64;0.089107;2.0;0.18134382;0.023;129.775
Ridge sum;5;128;0.083864;2.7;0.12073901;0.037;129.775
Ridge sum;5;256;0.023879;5.1;0.09586255;0.103;129.775
Ridge sum;5;512;0.015317;11.3;0.07679745;0.224;129.775
Ridge sum;5;1024;0.010525;34.2;0.06653418;0.475;129.775
Fourier narrow;5;32;0.616169;1.8;0.42662987;0.027;294.377
Fourier narrow;5;64;0.724125;2.1;0.41923192;0.023;294.377
Fourier narrow;5;128;0.713440;3.1;0.39306155;0.037;294.377
Fourier narrow;5;256;0.307179;5.4;0.37699261;0.101;294.377
Fourier narrow;5;512;0.259498;10.7;0.35418239;0.222;294.377
Fourier narrow;5;1024;0.168358;33.3;0.32300198;0.478;294.377
Fourier noisy;5;32;0.604659;1.9;0.90491492;0.027;11184.599
Fourier noisy;5;64;0.604890;2.1;0.90515989;0.022;11184.599
Fourier noisy;5;128;0.605314;2.7;0.90505403;0.037;11184.599
Fourier noisy;5;256;0.604599;5.6;0.90285313;0.103;11184.599
Fourier noisy;5;512;0.604852;10.8;0.90064847;0.224;11184.599
Fourier noisy;5;1024;0.604854;32.3;0.90099794;0.473;11184.599
Radial;10;32;0.047688;1.9;0.08106858;0.037;152.067
Radial;10;64;0.043285;2.1;0.07119687;0.037;152.067
Radial;10;128;0.046832;2.8;0.06966675;0.107;152.067
Radial;10;256;0.038100;5.5;0.06930258;0.206;152.067
Radial;10;512;0.034480;10.8;0.06889512;0.436;152.067
Radial;10;1024;0.032332;33.7;0.06813043;0.929;152.067
Ridge sum;10;32;0.113466;1.9;0.30188268;0.052;1056.909
Ridge sum;10;64;0.119797;2.2;0.27340367;0.038;1056.909
Ridge sum;10;128;0.129892;3.0;0.20694703;0.106;1056.909
Ridge sum;10;256;0.038429;5.4;0.13667795;0.207;1056.909
Ridge sum;10;512;0.022551;10.7;0.08669272;0.440;1056.909
Ridge sum;10;1024;0.013998;33.3;0.06133941;0.924;1056.909
Fourier narrow;10;32;1.072372;1.8;0.73944288;0.051;2753.566
Fourier narrow;10;64;1.128575;2.1;0.67551130;0.037;2753.566
Fourier narrow;10;128;1.096616;2.8;0.57961816;0.108;2753.566
Fourier narrow;10;256;0.796076;5.5;0.48778397;0.209;2753.566
Fourier narrow;10;512;0.684527;10.8;0.43283650;0.440;2753.566
Fourier narrow;10;1024;0.611593;35.3;0.41950256;0.928;2753.566
Fourier noisy;10;32;0.620054;1.9;0.93535900;0.053;17444.140
Fourier noisy;10;64;0.622053;2.1;0.93541700;0.037;17444.140
Fourier noisy;10;128;0.626098;2.7;0.93536782;0.107;17444.140
Fourier noisy;10;256;0.618680;5.3;0.93536139;0.207;17444.140
Fourier noisy;10;512;0.614991;10.6;0.93537593;0.447;17444.140
Fourier noisy;10;1024;0.612883;32.6;0.93508214;0.926;17444.140
Radial;20;32;0.011736;1.9;0.07250088;0.068;42.095
Radial;20;64;0.011806;2.2;0.07066849;0.117;42.095
Radial;20;128;0.011355;3.2;0.07031897;0.216;42.095
Radial;20;256;0.010243;5.7;0.06993673;0.407;42.095
Radial;20;512;0.011233;12.7;0.06969357;0.876;42.095
Radial;20;1024;0.011345;35.4;0.06938531;2.054;42.095
Ridge sum;20;32;0.176353;2.0;0.37326318;0.127;22258.490
Ridge sum;20;64;0.212493;2.4;0.35606357;0.119;22258.490
Ridge sum;20;128;0.162449;3.1;0.30576569;0.216;22258.490
Ridge sum;20;256;0.060727;5.9;0.21206507;0.408;22258.490
Ridge sum;20;512;0.039007;12.7;0.13903026;0.876;22258.490
Ridge sum;20;1024;0.022510;36.4;0.10001229;1.870;22258.490
Fourier narrow;20;32;1.223103;1.9;0.87371594;0.121;32502.284
Fourier narrow;20;64;1.222607;2.2;0.85685909;0.115;32502.284
Fourier narrow;20;128;1.222077;3.1;0.82760608;0.216;32502.284
Fourier narrow;20;256;1.221932;5.9;0.77916282;0.413;32502.284
Fourier narrow;20;512;1.216243;12.4;0.74861556;0.880;32502.284
Fourier narrow;20;1024;1.207307;35.4;0.73236507;1.884;32502.284
Fourier noisy;20;32;0.703092;1.9;0.99248570;0.114;51717.457
Fourier noisy;20;64;0.691653;2.3;0.99251044;0.124;51717.457
Fourier noisy;20;128;0.670319;3.1;0.99249440;0.221;51717.457
Fourier noisy;20;256;0.649064;5.7;0.99243039;0.435;51717.457
Fourier noisy;20;512;0.648571;13.3;0.99245816;0.918;51717.457
Fourier noisy;20;1024;0.643510;34.9;0.99267709;1.995;51717.457
